Start Time, 2026-04-01 00:00:00
End Time, 2026-04-30 23:59:59
Campaign ID,Campaign Name,Campaign Status,campaign_type,Campaign Budget,Budgeting Type,Ad Spend,Views,SUM(clicks),Total converted units,Total Revenue (Rs.),ROI,Click Through Rate,Conversion Rate
0F5ZZ3V7PBB3,Cables,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0FC00A3J,Tukzer Micro Cable,COMPLETED,PLA,848.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0FP304BW4KO4,H36 37 lunchbox,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0FZ4O16I9G0D,Laptop Sleeve,COMPLETED,PLA,5000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0FZEMWDBL2V9,Bottel 500ml,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0GXWI9GB7S6F,Airsound,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0H8AC9K3E694,Gadget Organizer,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0J12BTXSAXN3,Clone of CPC-extended mousepad-30-8-2025,PAUSED,PLA,300.0,DAILY_BUDGET,0,0,0,0,0,0,0,0
0JX5ITGMVXGK,metal stand,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0L4F2D20OEUO,Choppers,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0MNS36E0,Gadget Organiser,COMPLETED,PLA,2543.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0N5BYLCQC818,FJ Canister Bott,COMPLETED,PLA,2000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0OND9C6C2ACT,LunchBox,COMPLETED,PLA,2000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
